Название региона;Общая площадь дома, кв.м;Наибольшее количество этажей;Год ввода в эксплуатацию;Последнее изменение анкеты;Дата начала  обслуживания дома;Количество этажей:наибольшее, ед.;Количество этажей:наименьшее, ед.;Количество помещений, в том числе:;Количество помещений, в том числе:жилых, ед.;Количество помещений, в том числе:нежилых, ед.;Общая площадь дома, в том числе, кв.м:;Общая площадь дома, в том числе, кв.м:общая площадь жилых помещений, кв.м;Общая площадь дома, в том числе, кв.м:общая площадь нежилых помещений, кв.м;Общая площадь дома, в том числе, кв.м:общая площадь помещений, входящих в состав общего имущества, кв.м;Общие сведения о земельном участке, на котором расположен многоквартирный дом:площадь земельного участка, входящего в состав общего имущества в многоквартирном доме, кв.м;Общие сведения о земельном участке, на котором расположен многоквартирный дом:площадь парковки в границах земельного участка, кв.м;Элементы благоустройства:детская площадка;Элементы благоустройства:спортивная площадка;Элементы благоустройства:другое;Год постройки;Год ввода дома в эксплуатацию;Серия, тип постройки здания;Тип дома;Способ формирования фонда капитального ремонта;Дом признан аварийным;Количество подъездов, ед.;Количество лифтов, ед.;Класс энергетической эффективности;Дополнительная информация;Кадастровый номер;Анкета дома;Ссылки
Власиха (ЗАТО);6 596.10;10;2003;21.12.2015 в 12:37;01.07.2015;10;10;78;Не заполнено;Не заполнено;6 596.10;4 964.40;1 631.70;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2003;2003;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;2;2;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Маршала Жукова, д. 22, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063956/
Власиха (ЗАТО);7 903.00;9;1985;18.12.2015 в 11:45;01.07.2015;9;9;105;Не заполнено;Не заполнено;7 903.00;6 315.60;1 587.40;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1985;1985;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 1, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063989/
Власиха (ЗАТО);8 022.00;9;1986;18.12.2015 в 11:46;01.07.2015;9;9;106;Не заполнено;Не заполнено;8 022.00;6 329.10;1 692.90;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1986;1986;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 2, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063990/
Власиха (ЗАТО);7 366.00;9;1987;18.12.2015 в 11:47;01.07.2015;9;9;105;Не заполнено;Не заполнено;7 366.00;5 812.90;1 553.10;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1987;1987;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 3, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063991/
Власиха (ЗАТО);7 358.00;9;1987;18.12.2015 в 11:47;01.07.2015;9;9;105;Не заполнено;Не заполнено;7 358.00;5 805.90;2 661.60;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1987;1987;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 4, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063992/
Власиха (ЗАТО);8 476.00;9;1988;18.12.2015 в 11:49;01.07.2015;9;9;105;Не заполнено;Не заполнено;8 476.00;5 814.40;2 661.60;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1988;1988;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 5, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063993/
Власиха (ЗАТО);8 416.00;9;1989;18.12.2015 в 11:50;01.07.2015;9;9;105;Не заполнено;Не заполнено;8 416.00;5 811.60;2 604.40;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1989;1989;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 6, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063994/
Власиха (ЗАТО);7 516.00;9;1989;18.12.2015 в 11:51;01.07.2015;9;9;105;Не заполнено;Не заполнено;7 516.00;5 828.50;1 687.50;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1989;1989;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 7, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063995/
Власиха (ЗАТО);7 678.00;9;1990;18.12.2015 в 11:52;01.07.2015;9;9;105;Не заполнено;Не заполнено;7 678.00;5 838.56;1 839.44;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1990;1990;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 8, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063996/
Власиха (ЗАТО);7 401.00;9;1990;18.12.2015 в 11:52;01.07.2015;9;9;105;Не заполнено;Не заполнено;7 401.00;5 827.60;1 573.40;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1990;1990;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 9, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063997/
Власиха (ЗАТО);2 996.60;9;1991;18.12.2015 в 12:09;01.07.2015;9;9;35;Не заполнено;Не заполнено;2 996.60;2 102.00;894.60;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1991;1991;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;1;1;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 10, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063998/
Власиха (ЗАТО);2 615.00;9;1991;18.12.2015 в 12:10;01.07.2015;9;9;35;Не заполнено;Не заполнено;2 615.00;2 109.70;505.30;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1991;1991;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;1;1;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 11, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063999/
Власиха (ЗАТО);7 322.00;9;1993;18.12.2015 в 12:14;01.07.2015;9;9;107;Не заполнено;Не заполнено;7 322.00;5 839.50;1 482.50;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1993;1993;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 12, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9064000/
Власиха (ЗАТО);8 895.00;10;1996;18.12.2015 в 12:14;01.07.2015;10;10;119;Не заполнено;Не заполнено;8 895.00;7 119.70;1 175.30;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1996;1996;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;Не заполнено;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Солнечная, д. 13, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9064001/
Власиха (ЗАТО);95.00;1;1985;09.06.2016 в 16:27;03.08.2015;1;1;1;1;0;95.00;39.00;0.00;0.00;295.00;0.00;Не имеется;Не имеется;-;1985;1985;деревянные;Жилой дом блокированной застройки;Не определен;Нет;1;0;Не присвоен;-;отсутствует тех.паспорт;обл. Московская, п. Власиха, ул. Сосновая, д. 1;https://www.reformagkh.ru/myhouse/profile/view/8923841/
Власиха (ЗАТО);95.00;1;1985;09.06.2016 в 16:32;03.08.2015;1;1;1;1;0;95.00;39.00;0.00;0.00;295.00;0.00;Не имеется;Не имеется;-;1985;1985;деревянные;Жилой дом блокированной застройки;Не определен;Нет;1;0;Не присвоен;-;отсутствует тех.паспорт;обл. Московская, п. Власиха, ул. Сосновая, д. 2;https://www.reformagkh.ru/myhouse/profile/view/8924183/
Власиха (ЗАТО);95.00;1;1985;09.06.2016 в 17:02;03.08.2015;1;1;1;1;0;95.00;39.00;0.00;0.00;295.00;0.00;Не имеется;Не имеется;-;1985;1985;деревянные;Жилой дом блокированной застройки;Не определен;Нет;1;0;Не присвоен;-;отсутствует тех.паспорт;обл. Московская, п. Власиха, ул. Сосновая, д. 3;https://www.reformagkh.ru/myhouse/profile/view/8924188/
Власиха (ЗАТО);95.00;1;1985;09.06.2016 в 17:07;03.08.2015;1;1;1;1;0;95.00;39.00;0.00;0.00;295.00;0.00;Не имеется;Не имеется;-;1985;1985;деревянные;Жилой дом блокированной застройки;Не определен;Нет;1;0;Не присвоен;-;отсутствует тех.паспорт;обл. Московская, п. Власиха, ул. Сосновая, д. 4;https://www.reformagkh.ru/myhouse/profile/view/8924190/
Власиха (ЗАТО);95.00;1;1985;09.06.2016 в 17:11;03.08.2015;1;1;1;1;0;95.00;39.00;0.00;0.00;295.00;0.00;Не имеется;Не имеется;-;1985;1985;деревянные;Жилой дом блокированной застройки;Не определен;Нет;1;0;Не присвоен;-;отсутствует тех.паспорт;обл. Московская, п. Власиха, ул. Сосновая, д. 5;https://www.reformagkh.ru/myhouse/profile/view/8924194/
Власиха (ЗАТО);95.00;1;1985;09.06.2016 в 17:14;03.08.2015;1;1;1;1;0;95.00;39.00;0.00;0.00;295.00;0.00;Не имеется;Не имеется;-;1985;1985;деревянные;Жилой дом блокированной застройки;Не определен;Нет;1;0;Не присвоен;Не заполнено;отсутствует тех.паспорт;обл. Московская, п. Власиха, ул. Сосновая, д. 6;https://www.reformagkh.ru/myhouse/profile/view/8924197/
Власиха (ЗАТО);3 632.00;5;1974;09.06.2016 в 17:19;03.08.2015;5;5;162;162;0;3 632.00;2 528.17;0.00;0.00;1 226.40;0.00;Не имеется;Не имеется;-;1974;1974;кирпичный;Многоквартирный дом;Не определен;Нет;1;0;Не присвоен;-;отсутствует тех.паспорт;обл. Московская, п. Власиха, ул. Спортивная, д. 221;https://www.reformagkh.ru/myhouse/profile/view/8254195/
Власиха (ЗАТО);3 632.00;5;1977;10.06.2016 в 13:33;03.08.2015;5;5;153;153;0;3 632.00;2 418.00;0.00;0.00;1 226.40;0.00;Не имеется;Не имеется;-;1977;1977;кирпичный;Многоквартирный дом;Не определен;Нет;1;0;A;-;отсутствует тех.паспорт;обл. Московская, п. Власиха, ул. Спортивная, д. 222;https://www.reformagkh.ru/myhouse/profile/view/8254196/
Власиха (ЗАТО);5 812.00;9;1986;10.06.2016 в 14:07;03.08.2015;9;9;263;263;0;5 812.00;4 282.60;0.00;0.00;1 145.77;0.00;Не имеется;Не имеется;-;1986;1986;кирпичный;Многоквартирный дом;Не определен;Нет;1;2;Не присвоен;-;отсутствует тех.паспорт;обл. Московская, п. Власиха, ул. Спортивная, д. 223;https://www.reformagkh.ru/myhouse/profile/view/8254207/
Власиха (ЗАТО);3 723.00;5;1960;18.12.2015 в 14:32;01.07.2015;5;5;70;Не заполнено;Не заполнено;3 723.00;3 633.02;89.98;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1960;1960;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;5;Не заполнено;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, б-р. Цветной, д. 2, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063976/
Власиха (ЗАТО);3 806.00;5;1961;18.12.2015 в 14:33;01.07.2015;5;5;75;Не заполнено;Не заполнено;3 806.00;3 738.00;68.00;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1961;1961;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;5;Не заполнено;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, б-р. Цветной, д. 3, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063977/
Власиха (ЗАТО);3 807.00;5;1961;18.12.2015 в 14:34;01.07.2015;5;5;75;Не заполнено;Не заполнено;3 807.00;3 740.90;66.10;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1961;1961;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;5;Не заполнено;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, б-р. Цветной, д. 4, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063978/
Власиха (ЗАТО);3 924.00;5;1962;18.12.2015 в 14:36;01.07.2015;5;5;75;Не заполнено;Не заполнено;3 924.00;3 147.40;776.60;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1962;1962;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;5;Не заполнено;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, б-р. Цветной, д. 5, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063979/
Власиха (ЗАТО);3 924.00;5;1962;18.12.2015 в 14:36;01.07.2015;5;5;75;Не заполнено;Не заполнено;3 924.00;3 144.20;779.80;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1962;1962;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;5;Не заполнено;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, б-р. Цветной, д. 6, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063980/
Власиха (ЗАТО);3 586.00;5;1963;18.12.2015 в 14:37;01.07.2015;5;5;80;Не заполнено;Не заполнено;3 586.00;3 532.98;53.02;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1963;1963;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;4;Не заполнено;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, б-р. Цветной, д. 7, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063982/
Власиха (ЗАТО);8 093.00;9;1975;18.12.2015 в 14:38;01.07.2015;9;9;144;Не заполнено;Не заполнено;8 093.00;7 227.80;865.20;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1975;1975;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;4;4;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, б-р. Цветной, д. 8, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063983/
Власиха (ЗАТО);7 239.00;9;1975;18.12.2015 в 14:39;01.07.2015;9;9;144;Не заполнено;Не заполнено;7 239.00;7 127.10;111.90;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1975;1975;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;4;4;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, б-р. Цветной, д. 9, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063984/
Власиха (ЗАТО);4 068.00;9;1978;18.12.2015 в 14:40;01.07.2015;9;9;63;Не заполнено;Не заполнено;4 068.00;3 249.00;819.00;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1978;1978;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;1;1;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, б-р. Цветной, д. 10, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063985/
Власиха (ЗАТО);4 332.00;9;1978;18.12.2015 в 14:41;01.07.2015;9;9;63;Не заполнено;Не заполнено;4 332.00;3 217.20;1 114.80;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1978;1978;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;1;1;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, б-р. Цветной, д. 11, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063986/
Власиха (ЗАТО);4 338.00;9;1977;18.12.2015 в 14:43;01.07.2015;9;9;63;Не заполнено;Не заполнено;4 338.00;3 156.80;1 181.20;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1977;1977;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;1;1;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, б-р. Цветной, д. 12, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063987/
Власиха (ЗАТО);4 338.00;9;1976;18.12.2015 в 14:44;01.07.2015;9;9;63;Не заполнено;Не заполнено;4 338.00;3 144.00;1 194.00;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1976;1976;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;1;1;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, б-р. Цветной, д. 13, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063988/
Власиха (ЗАТО);13 192.90;14;2008;18.12.2015 в 14:48;01.07.2015;14;14;165;Не заполнено;Не заполнено;13 192.90;8 447.60;4 745.30;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2008;2008;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;6;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, мкр. Школьный, д. 1, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063968/
Власиха (ЗАТО);15 412.50;14;2008;18.12.2015 в 14:48;01.07.2015;14;14;167;Не заполнено;Не заполнено;15 412.50;10 643.60;4 768.90;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2008;2008;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;6;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, мкр. Школьный, д. 2, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063969/
Власиха (ЗАТО);8 358.30;14;2008;18.12.2015 в 14:49;01.07.2015;14;14;110;Не заполнено;Не заполнено;8 358.30;5 592.60;2 765.70;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2008;2008;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;2;4;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, мкр. Школьный, д. 3, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063970/
Власиха (ЗАТО);15 335.00;14;2008;18.12.2015 в 14:50;01.07.2015;14;14;168;Не заполнено;Не заполнено;15 335.00;10 664.20;4 670.80;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2008;2008;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;6;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, мкр. Школьный, д. 4, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063971/
Власиха (ЗАТО);15 336.90;14;2008;18.12.2015 в 14:51;01.07.2015;14;14;168;Не заполнено;Не заполнено;15 336.90;10 684.60;4 682.30;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2008;2008;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;6;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, мкр. Школьный, д. 5, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063972/
Власиха (ЗАТО);4 208.40;14;2008;18.12.2015 в 14:52;01.07.2015;14;14;42;Не заполнено;Не заполнено;4 208.40;2 771.82;1 436.58;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2008;2008;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;1;2;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, мкр. Школьный, д. 6, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063973/
Власиха (ЗАТО);4 163.30;14;2008;18.12.2015 в 14:52;01.07.2015;14;14;56;Не заполнено;Не заполнено;4 163.30;2 718.10;1 445.20;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2008;2008;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;1;2;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, мкр. Школьный, д. 7, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063974/
Власиха (ЗАТО);17 619.00;16;2012;01.04.2016 в 11:32;03.08.2015;16;16;252;252;0;17 619.00;16 988.80;0.00;0.00;1 601.20;0.00;Не имеется;Не имеется;-;2012;2012;монолитный;Многоквартирный дом;Не определен;Нет;4;8;Не присвоен;-;отсутствует тех.паспорт;обл. Московская, п. Власиха, мкр. Школьный, д. 9;https://www.reformagkh.ru/myhouse/profile/view/8253758/
Власиха (ЗАТО);8 349.00;9;1986;18.12.2015 в 14:57;01.07.2015;9;9;74;Не заполнено;Не заполнено;8 349.00;6 837.80;1 511.20;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1986;1986;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;2;4;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Южная, д. 1, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063959/
Власиха (ЗАТО);2 549.00;9;1988;18.12.2015 в 14:57;01.07.2015;9;9;35;Не заполнено;Не заполнено;2 549.00;2 129.40;419.60;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1988;1988;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;1;1;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Южная, д. 2, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063961/
Власиха (ЗАТО);2 540.00;9;1988;18.12.2015 в 14:57;01.07.2015;9;9;35;Не заполнено;Не заполнено;2 540.00;2 110.90;429.10;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1988;1988;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;1;1;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Южная, д. 3, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063962/
Власиха (ЗАТО);2 581.00;9;1989;18.12.2015 в 14:58;01.07.2015;9;9;35;Не заполнено;Не заполнено;2 581.00;2 153.50;427.50;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1989;1989;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;1;1;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Южная, д. 4, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063963/
Власиха (ЗАТО);3 071.00;5;2003;18.12.2015 в 14:58;01.07.2015;5;5;30;Не заполнено;Не заполнено;3 071.00;2 292.70;778.30;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2003;2003;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;2;Не заполнено;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Южная, д. 5, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063964/
Власиха (ЗАТО);10 816.60;9;2004;18.12.2015 в 14:58;01.07.2015;9;6;135;Не заполнено;Не заполнено;10 816.60;8 799.31;2 017.29;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2004;2004;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;5;Не заполнено;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Южная, д. 6, к. 1, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063965/
Власиха (ЗАТО);2 138.30;3;2006;18.12.2015 в 14:58;01.07.2015;3;3;18;Не заполнено;Не заполнено;2 138.30;1 355.70;782.60;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2006;2006;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;Не заполнено;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Южная, д. 6, к. 2, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063966/
