"estate_object_name";"construction_adress"
"ЖК ""Татьянин парк""";"Москва, НАО, поселение Московский, Говорово дер., северо-западнее, корп. 2, 3 (кадастровый номер земельного участка 50:21:0110502:644)"
"ЖК ""Ново-Никольское"" (в рамках ВИ д.2-14,16-28,96-105,108,109;тауны 29-46,106,107)";"п. Первомайское, вблизи д. Ивановское, уч.1/1, ГП №6"
"Некрасовка Парк";"ЮВАО, район Некрасовка, квартал 7, корпус 3, секция 2, квартира № 128"
"ЖК ""Garden Park Эдальго""";"г. Москва, НАО, поселение Сосенское, Коммунарка пос., участок 282Ю, корпус 2,"
"Некрасовка Парк";"Москва, ЮВАО, район Некрасовка, кв. 7, корп. 6, примерно в 1040 м по направлению на северо-запад от ориентира северно-западная граница"
"Коммунарка 5";"Московская область, Ленинский муниципальный район, сельское поселение Сосенское, пос. Коммунарка, корп. 1"
"ЖК Переделкино Ближнее";"Москва, НАО, дом 3, уч. 13/2, секция 3, проектный номер 168"
"ЖК ""Переделкино Ближнее""";"Москва, НАО, поселение Внуковское, Рассказовка дер., уч. 13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, по СПОЗУ №8, секция 2, этаж 8, проектный номер 91, номер на площадке 3"
"ЖК Переделкино Ближнее";"Москва, НАО, поселение Внуковское, Рассказовка дер.., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки квл6 дом 3"
"ЖК ""Татьянин парк""";"Москва, НАО, поселение Московский, Говорово дер., северо-западнее, корп. 2, 3 (кадастровый номер земельного участка 50:21:0110502:644)"
"Жилой район ""Бунинский""";"НАО,пос.Сосенское,д.Столбово,уч.27,корп.16,усл.№93"
"ЖК ""Переделкино Ближнее""";"НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки"
"ЖК ""Борисоглебское""";"квартира находится на земельном участке с кадастровым номером 50:26:0140503:43 по адресу Москва,п Новофедоровское,д Зверево,дом171,секция В"
"Жилой микрорайон ""Новые Ватутинки""";"Московская область, Ленинский район, Десеновское сельское поселение, вблизи дер. Десна, уч. 53, д.81"
"Многоквартирный жилой дом ";"г.Москва, г.Щербинка, местечко Барыши, корп. 11"
"мкрн. ""Солнцево-парк""";"поселение Внуковское, д. Пыхтино, уч. 6/1, корпус 14"
"ЖК ""Новое Бутово""";"нао пос воскресенское дер язово корп 9 кв 45"
"ЖК ""Татьянин парк""";"НАО, поселение Московский, Говорово д., северо-западнее, кор. 6, 7 (кадастровый номер земельного участка 50:21:0110502:647)"
"ЖК ""Новое Бутово""";"г. Москва НАО,  поселение Воскресенское, д. Язово, корп. 10 (в составе  5-й очереди строительства ЖК), секция 1, условный № кв. 4."
"Некрасовка Парк";"Москва, ЮВАО ,район Некрасовка, кв-л.7,корп. 8"
"ЖК Переделкино Ближнее";"НАО, поселение Внуковское, дер. Рассказовка, уч. 13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция 3, этаж 14, проектный номер 180, номер на площадке 4, количество комнат 2 дом 5"
"ЖК ""Татьянин парк""";"г. Москва, поселение Московский, северо-западнее д. Говорово, секция 2"
"ЖК ""LIFE-Митинская""  (ВНИМАНИЕ:Ограничения полномочий Генерального директора на подписание ДДУ суммой не более 30 млн.руб)";"г. Москва, СЗАО, район Митино, улица Митинская, корпус В, кв. 417"
"ЖК ""Новое Бутово""";"г. Москва, НАО, поселение Воскресенское, деревня Язово."
"ЖК Переделкино Ближнее";"НАО, поселение Внуковское, Рассказовка дер., кв.5 дом 10"
"ЖК ""LIFE-Митинская""  (ВНИМАНИЕ:Ограничения полномочий Генерального директора на подписание ДДУ суммой не более 30 млн.руб)";"Москва, СЗАО, район Митино, улица Митинская."
"ЖК ""Вершинино""";"г. Москва, ЮАО, район Нагорный, Электролитный проезд, вл. 16, корпус 1,  5 этаж, секция 1, № на площадке 4"
"ЖК ""Татьянин парк"" ";"г Москва г Строительный адрес г Московская область п с.о. Московский д северо-западнее д. Говорово 21,22"
"ЖК Новые Ватутинки";"Москва, НАО, поселение Десёновское, вблизи дер. Десна, уч. 50/8, корпус 37."
"ЖК Первый Московский";"НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1, секция 9подъезд) 5, проектный номер 313, № на площадке 4."
"ЖК ""Татьянин парк""";"Москва, НАО, п. Московский, северо-западнее д. Говорово, корп. 3, секция 2, условный № кв. 86. Кад. № 50:21:0110502:644."
"МФК ""Лайнер""";"Хорошевское ш., вл.38А (восточный участок)"
"ЖК ""Переделкино Ближнее""";"НАО, поселение Внуковское, Рассказовка дер.,уч. 13/2, жилой дом №9, секция 5, этаж 10, проектный номер 292, номер на площадке 4"
"ЖК ""LIFE-Митинская""  (ВНИМАНИЕ:Ограничения полномочий Генерального директора на подписание ДДУ суммой не более 30 млн.руб)";"СЗАО район Митино ул.Митинская"
"Жилой микрорайон ""Новые Ватутинки""";"НАО, поселение Десёновское, Десна дер., вблизи, уч. 50/8, корп. 35"
"ЖК ""Новое Бутово""";"НАО, пос Воскресенское, дер Язово корп 12 кв 36"
"Жилой микрорайон ""Новые Ватутинки""";"Москва, НАО, поселение Десеновское, Десна, уч 50/8"
"ЖК ""Татьянин парк"" (Только по уступке)";"поселение Московский д северо-западнее д. Говорово корпус 24 квартира 202"
"Жилой район ""Бунинский""";"НАО, поселение Сосенское, деревня Столбово, вблизи уч.27, корп 9"
"ЖК ""Татьянин парк""";"НАО, поселение Московский, Говорово дер., северо-западнее, корп. 1 (кадастровый номер земельного участка 50:21:0110502:643)"
"ЖК ""Москва А101""";"Москва, НАО, поселение Сосенское, посёлок Газопровод, корп. 16"
"ЖК Переделкино Ближнее";"Москва, НАО, поселение Внуковское, Рассказовка дер., кв.5. Дом № 2."
"ЖК ""Некрасовка Парк""";"Москва, ЮВАО, район Некрасовка, кв. 5, корп. 6, кв.95"
"ЖК ""Новые Ватутинки""";"Московская область, Ленинский район, Десеновское сельское поселение, вблизи дер. Десна, уч. 53"
"ЖК ""Английский квартал""";"ул. Мытная, дом 7, стр. 1, номер 38"
"ЖК ""Новые Ватутинки""";"Московская область, Ленинский район, Десеновское сельское поселение, вблизи дер. Десна, уч. 53 , д.77"
"ЖК ""Ривер Парк"" (полномочия ген.дир.ограничены, см. заключение ЮУ)";"г. Москва, ул. Речников, вл. 7, корпус 10, квартира 168"
"Многоквартирный жилой дом ";"г.Москва, г.Щербинка, местечко Барыши, корп. 11, квартира 4"
"ЖК ""Некрасовка Парк"" (в рамках ВИ корп.1)";"2-х   секционный 25-ти этажный жилой дом с первым нежилым и верхним техническим этажами из изделий производства «ДСК 1» на базе проекта повторного применения (П44Т-1/25Н1), строительство которого осуществляется по адресу: Москва, ЮВАО, район Некрасовка, к"
"ЖК Переделкино Ближнее";"НАО, поселение Внуковское, Рассказовка дер., кв. 5, жилой дом №2, секция 4, этаж 5, проектный номер 279, номер на площадке 2"
"Жилой микрорайон ""Новые Ватутинки""";"Московская область, Ленинский район, Десеновское сельское поселение, вблизи дер. Десна, уч. 53, д. № 83"
"ЖК ""Переделкино Ближнее""";"НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция (подъезд) 3, проектный  номер 149, номер на площадке 1. дом 4"
"ЖК Переделкино Ближнее";"НАО, поселение Внуковское, Рассказовка дер.., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки. дом № 3"
"ЖК ""Татьянин парк""";"Московская область г поселение Московский северо-западнее д Говорово 20"
"ЖК Переделкино Ближнее";"НАО, поселение Внуковское, Рассказовка дер., кв.5, в составе 2-й очереди строительства, 5-й квартал жилой застройки дом 1"
"ЖК ""Некрасовка Парк""";"ЮВАО , район Некрасовка кв.5 ,корп. 6"
"ЖК ""LIFE-Митинская"" (ВНИМАНИЕ:ТОЛЬКО УСТУПКА!!!!!! и Ограничения полномочий Генерального директора на подписание ДДУ суммой не более 30 млн.руб)";"СЗАО, район Митино, Митинская улица, вл. 22, корпус 1, условный проектный номер квартиры 109"
"ЖК Переделкино Ближнее";"НАО, поселение Внуковское, Рассказовка дер. кв.5, секция (подъезд) 1, проектный номер 52, номер на площадке 3. дом 3"
"МФК ""Лайнер""";"Хорошевское ш., вл.38А (восточный участок)"
"ЖК ""Москва А101""";"Москва, НАО, поселение Сосенское, пос. Коммунарка, корп 13"
"ЖК ""Москва А101""";"НАО, поселение Сосенское, пос. Коммунарка"
"ЖК ""Ривер Парк"" (полномочия ген.дир.ограничены, см. заключение ЮУ)";"г. Москва, ЮАО, район Нагатинский затон, улица Речников, вл.7, стр.2, 2А, 3, 6, 8-10, 13, 16, 18, 23–26, 31, 45, 54, 55"
"ЖК ""Борисоглебское""";"поселение Новофедоровское, деревня Зверево, дом 148 кв 10"
"ЖК Переделкино Ближнее";"Москва, НАО, поселение Внуковское, Рассказовка дер., д. 2, кв.5."
"ЖК ""Переделкино Ближнее""";"НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки"
"ЖК Зеленый бор";"г. Москва, г. Зеленоград, ул. Радио, корпус 2305, квартира № 35"
"ЖК ""Троицкая Ривьера""";"г.о. Троицк, ул. Заречная, строительный номер 8 (дом №2)"
"Многоквартирный жилой дом ";"Москва, г. Щербинка, местечко Барыши, корп. 11, секция 6, № на площадке 1"
"ЖК Первый Московский";"НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1, секция (подъезд) 6, проектный номер 335, № на площадке 1."
"Некрасовка Парк";"Москва, ЮВАО, район Некрасовка, кв. 7, корп. 5"
"Жилой район ""Бунинский""";"нао, поселение сосенское, деревня сталбово, уч 27, корп 12"
"ЖК ""Первый Московский""";"Москва, НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1 в составе жилой застройки на земельных участках тепличного комбината № 1 (согласно Постановлениям Правительства Москвы от 25 июля 2012 г. № 352-ПП и от 25 июля 2012 года № 353-ПП а"
"ЖК ""Альбатрос""";"г. Москва, ул. Твардовского, дом 12, корп. 3, кв.493"
"ЖК Переделкино Ближнее";"Москва, НАО, поселение Внуковское, Рассказовка дер., кв.1, корп. 4.5,6,7,8,9, в составе жилой застройки 1-ая очередь 2-й пусковой комплекс"
"ЖК ""Некрасовка Парк"" (в рамках ВИ корп.1)";"ЮВАО, район Некрасовка, секция 2, корп. 3, Люберецкие поля аэрации (1-я очередь строительства), кв. 31"
"ЖК ""Ново-Никольское"" (в рамках ВИ д.2-14,16-28,96-105,108,109;тауны 29-46,106,107)";"г. Москва, п. Первомайское, вблизи дер. Ивановское, уч. 1/1"
"ЖК ""Ново-Никольское"" (в рамках ВИ д.2-14,16-28,96-105,108,109;тауны 29-46,106,107)";"г. Москва, п. Первомайское, вблизи д. Ивановское, уч. 1/1, секция 1, строительный номер квартиры 19"
"ЖК ""Первый Московский""";"НАО, поселение Московский, Московский пос.., кв. 2, мкр. 1, в составе жилой застройки на земельных участках тепличного комбината №1. Кадастровый номер земельного участка 50:21:0110205:595."
"ЖК ""Татьянин парк""";"Москва, НАО, поселение Московский, Говорово дер., северо-западнее, корп. 4, 5 (кадастровый номер земельного участка 50:21:0110502:646), корпус 4, квартира 15"
"Многоквартирный жилой дом ";"Москва, г. Щербинка, местечко Барыши, кор. 8, этаж 17, номер квартиры на площадке 7"
"ЖК ""Некрасовка Парк""";"Москва, ЮВАО, район Некрасовка, кв. 5, корп. 8, примерно в 800 м по направлению на северо-запад от ориентира северо-западная граница (1-я очередь)"
"ЖК ""Москва А101""";"Москва НАО поселение Сосенское поселок Газопровод корп 17"
"ЖК ""Первый Московский""";"НАО, поселение Московский, Московский пос., кв. 2, мкр. 1, секция (подъезд) 1, проектный номер 46, № на площадке 2. поз 2"
"Жилой район ""Бунинский""";"НАО, поселение Сосенское, деревня Столбово, вблизи уч. № 27, корп. 9"
"ЖК ""Альбатрос""";"ул. Твардовского, д. 12, корп. 3, кв. 597"
"МФК ""Лайнер""";"Хорошевское ш., вл.38А (восточный участок)"
"Жилой микрорайон ""Новые Ватутинки""";"НАО, поселение Десёновское, вблизи дер. Десна, уч. 50/8, корп. 35"
"ЖК Первый Московский";"НАО, поселение Московский, Московский пос., квартал 2, микрорайон 1, в составе жилой застройки на земельных участках тепличного комбината №1, поз. 4, секция 3, этаж 10, проектный номер 170, № на площадке 3"
"ЖК ""Первый Московский""";"Москва, НАО, поселение Московский, Московский пос., кв. 2, мкр. 1, секция 6, проектный номер 385, № на площадке 3 поз 7"
"ЖК Переделкино Ближнее";"Москва, НАО, поселение Внуковское, Рассказовка дер., кв.5 ljv 4"
"Жилой район ""Бунинский""";"г. Москва, НАО, поселение Сосенское, деревня Столбово, вблизи уч. № 27, корп. 9,"
"ЖК ""Москва А101""";"НАО п поселение Сосенское, пос.Коммунарка (3-я очередь 1п.к.) корп. 13, кв.11"
"ЖК ""Переделкино Ближнее""";"Москва, НАО, дом, 4, секция 3, этаж 13, проектный номер 174"
"ЖК ""Garden Park Эдальго""";"Москва, п. Сосенское, пос. Коммунарка, ул. Фитарёвская, д. 19"
"ЖК Первый Московский";"НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1, в составе жилой застройки на земельных участках тепличного комбината №1"
"ЖК ""Переделкино Ближнее""";"НАО, поселение Внуковское, Рассказовка дер., уч.13/2, секция (подъезд) 4, проектный номер 220. номер на площадке 4."
"ЖК ""Переделкино Ближнее""";"НАО, поселение Веуковское, Рссказовка дер., уч. 13/2,"
"Многоквартирный жилой дом ";"г. Москва г. Щербинка местечко корп. 11 ="
"ЖК ""Татьянин парк""";"НАО, поселение Московский, Говорово дер., северо-западнее, корп. 1, секция 3, порядковый номер на площадке 2, условный номер Объекта долевого строительства 160."
"ЖК ""Зеленый бор""";"г.Москва, г.Зеленоград, корпус 2303 , кв. 25"
"ЖК ""Вяземское""";"г. Москва, поселение Сосенское, д. Николо-Хованское"
"ЖК ""Лобачевский""";"Москва, ЗАО, район Раменки, ул.Лобачевского, вл.118, корпус 3, квартира 66"
"ЖК ""Переделкино Ближнее""";"Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2 (в составе 2-ой очереди строительства, 6-й квартал жилой застройки), кв. 303"
"ЖК Переделкино Ближнее";"22-х этажный 4-х секционный индивидуальный жилой дом № 4 (по СПОЗУ №4) с подвалом и «теплым» чердаком, встроенным ИТП и нежилым помещением общественного назначения на первом этаже, строительство которого ведется по адресу: Москва, НАО, поселение Внуковско"
"ЖК ""Вершинино""";"г. Москва, ЮАО, район Нагорный, Электролитный проезд, вл. 16, корпус 2."
"ЖК ""Новое Бутово""";"НАО пос Воскресенское дер Язово корп 10 кв 176"
"Жилой микрорайон ""Новые Ватутинки""";"НАО, пос Десеновское, Десна дер. вблизи, уч. 50/8, корп 35 кв 51"
"ЖК ""Переделкино Ближнее""";"Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки"
"ЖК ""Некрасовка Парк"" (в рамках ВИ корп.1)";"ЮВАО, район Некрасовка, кв. 5, корп. 4, Люберецкие поля аэрации (1-я очередь строительства)"
"МФК ""Лайнер""";"Хорошевское ш., вл.38А (восточный участок)"
"ЖК Переделкино Ближнее";"НАО, поселение Внуковское, Рассказовка дер., кв.5, в составе 2-й очереди строительства, 5-й квартал жилой застройки дом 1"
"ЖК ""Вершинино""";"г. Москва, ЮАО, район Нагорный, Электролитный проезд, вл. 16, корпус 4"
"ЖК ""Борисоглебское""";"г. М-ва, поселение Новофедоровское, дер. Зверево, дом № 139, секция Г2, условный № кв. 41."
"Некрасовка Парк";"ювао район некрасовка кв. 7 корп. 10"
"Многоквартирный жилой дом ";"г. Щербинка, местечко Барыши, корп. 8"
"ЖК ""LIFE-Митинская""  (ВНИМАНИЕ:Ограничения полномочий Генерального директора на подписание ДДУ суммой не более 30 млн.руб)";"г. Москва. СЗАО, район Митино, ул. Митинская, корпус Б, секция 1, кв. 364"
"ЖК Первый Московский";"Ленинский район, городское поселение Московский, г. Московский. Дом №5"
"Многоквартирный жилой дом ";"г. Щербинка, местечко Барыши, корп. 11"
"Многоквартирный жилой дом ";"Московская область ,г. Щербинка ,местечко Барыши , д. 42, корп.11"
"ЖК ""Переделкино Ближнее""";"НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция (подъезд) 2, проектный номер 66, номер на площадке 2."
"ЖК ""Переделкино Ближнее""";"рассказовка 6 квл поз 9"
"ЖК ""Переделкино Ближнее""";"Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки. Кадастровый номер земельного участка 50:21:100211:685, корп.6"
"ЖК ""Первый Московский""";"Москва"
"ЖК ""LIFE-Митинская"" (ВНИМАНИЕ:ТОЛЬКО УСТУПКА!!!!!! и Ограничения полномочий Генерального директора на подписание ДДУ суммой не более 30 млн.руб)";"г. Москва, СЗАО, район Митино, Митинская улица, вл. 22."
"ЖК ""Ново-Никольское"" (в рамках ВИ д.2-14,16-28,96-105,108,109;тауны 29-46,106,107)";"п. первомайское, вблизи д.Ивановское, уч.1/1"
"ЖК ""Переделкино Ближнее""";"Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2 (в составе 2-ой очереди строительства, 6-й квартал жилой застройки).Кадастровый (или условный) номер земельного участка: 50:21:100211:685"
"ЖК Переделкино Ближнее";"Москва, НАО, поселение Внуковское, Рассказовка дер., квартал 5, дом №2"
"ЖК Новые Ватутинки";"НАО, поселение Десёновское, вблизи дер. Десна, уч. 50/8, корпус 34"
"ЖК ""Новые Ватутинки""";"Московская область, Ленинский район, Десеновское сельское поселение, вблизи дер. Десна, уч. 53"
"ЖК ""Некрасовка Парк"" (в рамках ВИ корп.1)";"Москва, ЮВАО, район Некрасовка, кв. 5, корп. 1, Люберецкие поля аэрации (1-я очередь строительства), корпус 1, секция 5, условный номер квартиры 305"
"ЖК ""Новое Бутово""";"город Москва, НАО, поселение Воскресенское, деревня Язово, корпус 7"
"ЖК ""LIFE-Митинская"" (ВНИМАНИЕ:ТОЛЬКО УСТУПКА!!!!!! и Ограничения полномочий Генерального директора на подписание ДДУ суммой не более 30 млн.руб)";"Москва , СЗАО , РАЙОН МИТИНО, Митинская улица , вл.22, корп.1"
"ЖК ""Бунинский""";"НАО, поселение Сосенское, деревня Столбово, уч. №27, корп. 12, кв.191"
