"estate_object_name";"construction_adress"
"ЖК Переделкино Ближнее";"Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция 3, проектный номер 192, номер на площадке 4"
"ЖК ""LIFE-Митинская""  (ВНИМАНИЕ:Ограничения полномочий Генерального директора на подписание ДДУ суммой не более 30 млн.руб)";"г.Москва, ул.Митинская."
"ЖК ""LIFE-Митинская""  (ВНИМАНИЕ:Ограничения полномочий Генерального директора на подписание ДДУ суммой не более 30 млн.руб)";"г. Москва, Пятницкое шоссе, д. 21 (строительный адрес: Москва, СЗАО, район Митино, Митинская улица)"
"ЖК ""Переделкино Ближнее""";"Рассказовка"
"ЖК ""Переделкино Ближнее""";"НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки"
"ЖК ""Москва А101"" (Только по уступке)";"Поселение Сосенское, пос. Коммунарка корпус №11"
"ЖК Зеленый бор";"г.Москва, г.Зеленоград,  корпус 2301"
"ЖК ""Москва А101""";"г. Москва, НАО, поселение Сосенское, пос. Коммунарка, корпус №12, условный номер Объекта 12-17"
"ЖК Переделкино Ближнее";"Москва, НАО, поселение Внуковское, Рассказовка дер., кв.5, в составе 2-й очереди строительства, 5-й квартал жилой застройки. Кадастровый номер земельного участка 50:21:100211:678"
"ЖК ""Некрасовка Парк"" (в рамках ВИ корп.1)";"Москва, ЮВАО, район Некрасовка, кв.5, корп.2, Люберецкие поля аэрации (1 очередь строительства)"
"ЖК ""Москва А101""";"Москва, НАО, поселение Сосенское, посёлок Газопровод, корпус 16. порядковый номер квартиры 14"
"ЖК ""Татьянин парк""";"НАО, поселение Московский, Говорово дер., северо-западнее, корп. 4, 5, секция 2, порядковый номер на площадке 1, условный номер Объекта долевого строительства 107."
"ЖК ""Татьянин парк""";"поселение Московский, северо-западнее д Говорово"
"ЖК Переделкино Ближнее";"Москва, НАО, поселение Внуковское, Рассказовка дер., кв.5, жилая застройка 2-ая очередь. Кадастровый номер земельного участка 50:21:100211:678, секция 1, проектный номер 17, номер на площадке 1"
"ЖК ""Москва А101""";"город Москва, поселение Сосенское, пос. Коммунарка,корп.13,условный № кв.13-279,секция 4"
"ЖК ""Переделкино Ближнее""";"Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2 (в составе 2-ой очереди строительства, 6-й квартал, секция 1"
"ЖК ""Борисоглебское""";"поселение Новофедоровское, деревня Зверево, д.179, №12"
"ЖК ""Татьянин парк"" ";"г. Москва, п. Московский, северо-западнее д. Говорово, корпус №21, секция 2, кв. 79."
"ЖК ""Ново-Никольское"" (в рамках ВИ д.2-14,16-28,96-105,108,109;тауны 29-46,106,107)";"5-ти секционный  9-ти этажный многоквартирный жилой дом № по ГП: 4, расположенный по адресу: г. Москва, п. Первомайское, вблизи, д. Ивановское, уч. 1/1, секция 5, строительный номер 169"
"ЖК Первый Московский";"Москва, НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1. дом №4"
"ЖК ""Переделкино Ближнее""";"НАО, поселение Внуковское, Рассказовка дер., уч.13/2, секция (подъезд) 4, проектный номер 210, номер на площадке 2. поз 9 квл 6"
"ЖК ""Лобачевский""";"г.Москва, ЗАО, район Раменки, ул.Лобачевского, вл.118"
"ЖК Первый Московский";"Москва, НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1"
"ЖК «Эмеральд»  ";"г.  Москва, Ленинский пр-кт, вл. 105, секция -В, усл. № кв. 118."
"ЖК Переделкино Ближнее";"Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал"
"ЖК ""Борисоглебское""";"г. Москва, поселение Новофедоровское, деревня Зверево, дом (корпус) № 159"
"ЖК ""Москва А101""";"Москва,НАО ,поселение Сосенское ,пос.Коммунарка, кор.13,секция 2, кв.13"
"ЖК ""Кристалл""";"район Левобережный, микрорайон 2В, корпус 8 а"
"ЖК ""Вершинино""";"г. Москва, ЮАО, район Нагорный, Электролитный проезд, вл. 16, корпус 2"
"Некрасовка Парк";"г. Москва, ЮВАО, район Некрасовка, кв.7, корп.8, примерно в 1040 м по направлению на северо-запад от ориентира северо-западная граница, екция 1, условный номер квартиры 110"
"Жилой комплекс ""Новые Ватутинки""";"г. Москва, НАО, п. Десёновское, вблизи д. Десна, уч. 50/12, корп. 2, секция № 4, проектный № кв. 169."
"ЖК Переделкино Ближнее";"НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция (подъезд) 2, проектный номер 74, номер на площадке 2. дом 5"
"ЖК ""Ново-Никольское"" (в рамках ВИ д.2-14,16-28,96-105,108,109;тауны 29-46,106,107)";"г. Москва, п. Первомайское, вблизи  д. Ивановское, уч. 1/1, дом 19"
"Жилой район ""Бунинский""";"г.Москва,НАО,поселение Сосенское,деревня Столбово,уч.№27 корп.12, кв.6"
"ЖК Переделкино Ближнее";"Москва рассказовка квл 6 дом 5"
"ЖК ""Первый Московский""";"НАО, поселение Московский, Московский пос.., кв. 2, мкр. 1, секция(подъезд) 2, проектный номер 92, № на площадке 2."
"ЖК ""Переделкино Ближнее""";"Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки. Кадастровый номер земельного участка 50:21:100211:685, секция 2, проектный номер 78, номер на площадке 2"
"ЖК ""Ривер Парк"" (полномочия ген.дир.ограничены, см. заключение ЮУ)";"г. Москва, ул. Речников, вл. 7, корпус 8, квартира 14"
"ЖК ""Москва А101""";"НАО, поселение Сосенское, посёлок Газопровод корп 15"
"ЖК Переделкино Ближнее";"НАО, поселение Внуковское, Рассказовка дер., кв.5., секция 1, проектный номер 55, номер на площадке 1"
"ЖК Новые Ватутинки";"Москва, НАО, поселение Десёновское, вблизи дер. Десна, уч. 50/8, корпус 33."
"ЖК ""Некрасовка Парк"" (в рамках ВИ корп.1)";"ЮВАО, район Некрасовка, кв 5, корп. 1"
"Многоквартирный жилой дом ";"г.Москва, г.Щербинка, местечко Барыши, корп. 15 (по Генеральному Плану)"
"ЖК ""Борисоглебское""";"г. Москва, поселение Новофедоровское, деревня Зверево, дом  № 147 , строительный номер квартиры 57"
"ЖК Переделкино Ближнее";"Москва, НАО, поселение Внуковское, Рассказовка, дер. , кв. 5, 22-х этажный 4-х секционный индивидуальный жилой дом № 3 (по СПОЗУ №3)"
"Жилой микрорайон ""Новые Ватутинки""";"Ленинский район, Десеновское сельское поселение, вблизи дер.Десна, уч.53, жилой дом №68, кв.1"
"Многоквартирный жилой дом ";"г.Москва, г.Щербинка, местечко Барыши, корп. 11."
"ЖК ""Переделкино Ближнее""";"НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки"
"Жилой микрорайон ""Новые Ватутинки""";"МО, Ленинский район, с. п. Десеновское, вблизи д. Десна / г. М-ва,  поселение Десеновское, вблизи д. Десна, уч. 53, дом 10, секция № 3, проектный № кв. 23.   Кад. № 77:17:0140308:96."
"Жилой район ""Бунинский""";"г. Москва, поселение Сосенское, вблизи д. Столбово, уч.27, кор.9, квартира 178"
"ЖК Первый Московский";"НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1, в составе жилой застройки на земельных участках тепличного комбината №1"
"ЖК ""Ново-Никольское"" (в рамках ВИ д.2-14,16-28,96-105,108,109;тауны 29-46,106,107)";"п. Первомайское, вблизи        д. Ивановское, уч. 1/1, строительный номер квартиры 8"
"Многоквартирный жилой дом ";"ГОРОД МОСКВА, Г.ЩЕРБИНКА, МЕСТЕЧКО БАРЫГИ, КОРПУС 11, секция 7, 11 этаж, номер кв. на площадке 2"
"ЖК ""Переделкино Ближнее""";"НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки,  секция (подъезд) 6, проектный номер 352, номер на площадке 4. поз 8"
"ЖК ""Татьянин парк""";"поселение Московский, северо-западнее д. Говорово, секция 2, порядковый номер на площадке 2, условный номер объекта долевого строительства 123  корп.1"
"ЖК ""Вершинино""";"Москва, ЮАО, район Нагорный, электропролитный проезд, вл.16, корп 3,секция 4, 3 этаж, кв на площадке 2"
"ЖК ""Некрасовка Парк"" (в рамках ВИ корп.1)";"ЮВАО, район Некрасовка, кв. 5, корп. 1, Люберецкие поля аэрации (1-я очередь строительства)"
"ЖК ""Новое Бутово""";"Ленинский район, Сосенский с/о, в районе д. Язово корп.№7"
"ЖК ""Переделкино Ближнее""";"НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки"
"ЖК ""Первый Московский""";"Москва, НАО, поселение Московский, Московский пос., кв. 2, мкр. 1, в составе жилой застройки на земельных участках тепличного комбината №1. Земельный участок с кадастровым номером 50:21:0110205:595 дом 7"
"ЖК ""Москва А101""";"Москва, НАО, поселение Сосенское, пос. Коммунарка"
"ЖК ""Ново-Никольское"" (в рамках ВИ д.2-14,16-28,96-105,108,109;тауны 29-46,106,107)";"Наро-Фоминский р-н, с.п. Первомайское, вблизи дер. Ивановское, уч. 1/1"
"ЖК ""Москва А101""";"НАО, поселение Сосенское, пос.Коммунарка, условный номер 8-206, номер секции 3, порядковый номер на этаже 13."
"ЖК Переделкино Ближнее";"НАО, поселение Внуковское, Рассказовка дер., кв.5, жилая застройка 2-ая очередь"
"ЖК ""Первый Московский""";"Москва, НАО, поселение Московский, Московский пос.., кв. 2, мкр. 1,"
"ЖК Зеленый бор";"Зеленоград ул. Радио корп. 2305(секции А,Б)"
"ЖК ""Лобачевский""";"г. Москва, Раменки р-он, ул.Лобачевского, вл.118"
"ЖК ""Лобачевский""";"Москва, ЗАО, район Раменки, ул.Лобачевского, вл.118"
"ЖК ""Москва А101""";"НАО, поселение Сосенское, пос Коммунарка, корпус 8"
"ЖК ""Новое Бутово""";"НАО, поселение Воскресенское, деревня Язово корп.7"
"ЖК ""Ново-Никольское"" (в рамках ВИ д.2-14,16-28,96-105,108,109;тауны 29-46,106,107)";"п. Первомайское, близи дер. Ивановское,уч. 1/1, дом по ГП 8, секция 3, строительный 82"
"ЖК ""Бунинский""";"г. Москва, НАО, поселение Сосенское, деревня Столбово, уч. №27, корп. 12"
"ЖК Первый Московский";"НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1,  секция (подъезд) 7, проектный номер 404. № на площадке 2."
"ЖК ""Вершинино""";"Москва, ЮАО, район Нагорный, Электролитный проезд, владение 16, корпус 3 секция 2, номер кв. на площадке 2"
"МФК ""Лайнер""";"Хорошевское ш., вл.38А (восточный участок)"
"ЖК Переделкино Ближнее";"НАО, поселение Внуковское, Рассказовка дер. кв.5, секция (подъезд) 4, проектный номер 307, номер на площадке4. д.3"
"Некрасовка Парк";"ЮВАО РАЙОН НЕКРАСОВКА КВ 7 КОРП 8 ПРИМЕРНО В 1040 М ПО НАПРАВЛЕНИЮ НА СЕВЕРО-ЗАПАД ОТ ОРИЕНТИРА СЕВЕРО-ЗАПАДНАЯ ГРАНИЦА"
"ЖК Новые Ватутинки";"Москва, НАО, поселение Десёновское, вблизи дер. Десна, уч. 50/8, корпус 37,секция - 1, этаж -  9, номер на площадке - 3, проектный номер –  31,количество комнат – 1"
"ЖК ""Переделкино Ближнее""";"НАО, поселение Внуковское, Рассказовка дер., уч. 13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки."
"ЖК ""Вершинино""";"МОСКВА, ЮАО, РАЙОН НАГОРНЫЙ, ЭЛЕКТРОЛИТНЫЙ ПРОЕЗД, ВЛ. 16,КОРП. 4,"
"ЖК ""Новое Бутово""";"НАО, поселение Воскресенское, деревня Язово, корпус 8"
"Многоквартирный жилой дом ";"г. Москва, г. Щербинка, местечко Барыши, дом 42, корп. 15 (по Генеральному Плану)"
"ЖК ""LIFE-Митинская""  (ВНИМАНИЕ:Ограничения полномочий Генерального директора на подписание ДДУ суммой не более 30 млн.руб)";"г. Москва, СЗАО, район Митино, улица Митинская, корпус Б, квартира 313"
"ЖК ""Москва А101""";"Московская область, Ленинский муниципальный район, сельское поселение Сосенское, вблизи д. Бачурино"
"ЖК ""Москва А101""";"Москва, НАО, поселение Сосенское, пос. Коммунарка"
"ЖК ""Red Side""";"Москва, ЦАО , район Пресненский,улица Сергея Макеева ,вл.9,ул.2-я Черногрязская , вл.6"
"ЖК ""Татьянин парк""";"НАО, поселение Московский, Говорово дер., северо-западнее,"
"ЖК ""LIFE-Митинская""  (ВНИМАНИЕ:Ограничения полномочий Генерального директора на подписание ДДУ суммой не более 30 млн.руб)";"г. Москва, СЗАО, район Митино, улица Митинская."
"ЖК ""Лобачевский""";"Москва, ЗАО, район Раменки, ул.Лобачевского, вл.118"
"ЖК ""Переделкино Ближнее""";"17-ти этажный 6-ти секционный жилой дом № 6 серии П44Т (по СПОЗУ №6), Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, кв. 182"
"ЖК ""Белый парк""";"город Москва, Северный административный округ, район Левобережный, микрорайон № 2А, корпус 41-42-43"
"ЖК ""Переделкино Ближнее""";"Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, д.8"
"Жилой микрорайон ""Новые Ватутинки""";"Ленинский район, Десеновское сельское поселение, вблизи дер. Десна, уч. 53"
"ЖК ""Бунинский""";"НАО, поселение Сосенское, деревня Столбово, уч.№ 27, корп.12, кв.40"
"ЖК Переделкино Ближнее";"НАО, поселение Внуковское, Рассказовка дер., кв.5, жилая застройка 2-ая очередь, секция (подъезд) 4, проектный номер 214, номер на площадке 2. дом 10"
"ЖК Переделкино Ближнее";"НАО, поселение Внуковское, Рассказовка дер., кв.5, секция(подъезд) 3, проектный номер 181, номер на площадке 2"
"ЖК ""Переделкино Ближнее""";"НАО, поселение Внуковское, дер. Рассказовка, уч. 13/2, секция 1, этаж 13, проектный номер 47, номер на площадке 3 квл 6 поз 9"
"ЖК ""Москва А101""";"Москва, НАО, поселение Сосенское, пос. Коммунарка. корпус 14, квартира 14-332"
"ЖК ""Переделкино Ближнее""";"НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция (подъезд) 1, проектный номер 1, номер на площадке 1."
"ЖК ""LIFE-Митинская""  (ВНИМАНИЕ:Ограничения полномочий Генерального директора на подписание ДДУ суммой не более 30 млн.руб)";"Пятницкое шоссе, д. 21, кв. 573"
"ЖК ""Некрасовка Парк""";"ЮВАО, район Некрасовка, кв 5 корп 7 квартира 136"
"ЖК ""Red Side""";"Москва, ЦАО, район Пресненский, улица Сергея Макеева, вл. 9, ул. 2-я Черногрязская, вл. 6"
"ЖК ""Переделкино Ближнее""";"НАО, поселение Внуковское, Рассказовка дер, 13/2, в составе 2-ой очереди строительсвтва, 6-й квартал жилой застройки."
"квартиры-таунхаусы";"ГОРОД МОСКВА, ПОСЕЛЕНИЕ СОСЕНСКОЕ, ВБЛИЗИ ДЕР. НИКОЛО-ХОВАНСКОЕ, УЧ. 11, ДОМ УСЛОВНЫЙ №2"
"ЖК ""Борисоглебское""";"г. Москва, поселение Новофедоровское, деревня Зверево, дом  № 139, квартира 97"
"ЖК ""LIFE-Митинская"" (ВНИМАНИЕ:ТОЛЬКО УСТУПКА!!!!!! и Ограничения полномочий Генерального директора на подписание ДДУ суммой не более 30 млн.руб)";"СЗАО, район Митино, Митинская улица, вл. 22, корпус 1, секция 1, условный проектный № 2."
"ЖК ""Москва А101""";"Москва, НАО, поселение Сосенское, пос. Коммунарка"
"ЖК ""Борисоглебское""";"г.Москва, поселение Новофедоровское, деревня Зверево, дом № 159"
"ЖК ""Ново-Никольское"" (в рамках ВИ д.2-14,16-28,96-105,108,109;тауны 29-46,106,107)";"г. Москва, п. Первомайское, вблизи  д. Ивановское, уч. 1/1"
"ЖК ""Кристалл""";"район Левобережный, микрорайон  2В, корпус 8 а, б,секция 2,Этаж 14,условный номер квартиры 238"
"ЖК ""Татьянин парк""";"Москва, НАО, поселение Московский, Говорово д., северо-западнее, кор. 6, 7 , секция 1, порядковый номер 1, условный номер 52"
"ЖК ""Первый Московский""";"НАО, поселение Московский, Московский пос.., кв. 2, мкр. 1, в составе жилой застройки на земельных участках тепличного комбината №1, секция 3, проектный номер 155, № на площадке 1"
"ЖК ""Переделкино Ближнее""";"НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция(подъезд) 2, проектный номер 98, номер на площадке 2. дом 6"
"ЖК ""Кристалл""";"г Москва АО САО, район Левобережный мкр 2В корп. 8 а,б"
"Кронбург";"Ленинский р-н, с.п. Воскресенское, д. Губкино, ул. Кронбургская, владение 16"
"ЖК ""LIFE-Митинская""  (ВНИМАНИЕ:Ограничения полномочий Генерального директора на подписание ДДУ суммой не более 30 млн.руб)";"г. Москва, СЗАО, район Митино, улица Митинская, корпус Б, квартира 236"
"ЖК ""Переделкино Ближнее""";"НАО, поселение Внуковское, Рассказовка дер., уч. 13/2. в составе 2-ой очереди строительства, 6-й квартал жилой застройки, жилой дом №1, секция 5, этаж 3, проектный номер 262, номер на площадке 2"
"ЖК Первый Московский";"НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1, в составе жилой застройки на земельных участках тепличного комбината №1 дом 4"
"ЖК Переделкино Ближнее";"Москва, НАО, поселение Внуковское, Рассказовка дер., кв.5, жилая застройка 2-ая очередь. Кадастровый номер земельного участка 50:21:100211:678 дом 10"
"ЖК ""Ривер Парк"" (полномочия ген.дир.ограничены, см. заключение ЮУ)";"г. Москва, ул. Речников, вл. 7, корпус 10, квартира 72"
"Жилой микрорайон ""Новые Ватутинки""";"НАО, поселение Десёновское, дер. Десна.ю вблизи уч. 50/8, корп. 35"
"ЖК ""Некрасовка Парк"" (в рамках ВИ корп.1)";"ЮВАО, район Некрасовка, кв. 5, корп. 3, Люберецкие поля аэрации (1-я очередь строительства)"
"ЖК Переделкино Ближнее";"Москва, НАО, п. Внуковское, д. Рассказовка, уч. 13/2, 6-й квартал, секция 3, проектный номер 190 поз 5"
"Коммунарка 6";"г Ленинский район г с/п Сосенское п пос. Коммунарка"
"ЖК ""LIFE-Митинская""  (ВНИМАНИЕ:Ограничения полномочий Генерального директора на подписание ДДУ суммой не более 30 млн.руб)";"ул.Митинская, корпус В"
"ЖК ""Ривер Парк"" (полномочия ген.дир.ограничены, см. заключение ЮУ)";"г. Москва, ул. Речников, вл. 7, корпус 9, квартира 201"
"Многоквартирный жилой дом ";"Москва, г. Щербинка, местечко Барыши, корп 11, кв.4"
"ЖК ""Новое Бутово""";"Московская область, Ленинский район, Сосенский с/о, в районе д. Язово"
"ЖК Переделкино Ближнее";"Москва, НАО, поселение Внуковское, Рассказовка дер.., уч.13/2  поз 3"
